Master PCN,Name,Final_Subdivision_Name,Unified_Group_Name,Source,Renamed
642472316,TOWN SWIM & RACQUET CLUB,TOWN SWIM RACQUET CLUB,TOWN SWIM RACQUET,Grouped,True
643470543,TOWNHOMES OF ENFIELD STREET CONDO,TOWNHOMES OF ENFIELD STREET,TOWNHOMES OF ENFIELD,Grouped,True
643472949,TOWNSEND PLACE COND,TOWNSEND PLACE,TOWNSEND PLACE,Grouped,True
643472948,TOWNSEND PLACE,TOWNSEND PLACE,TOWNSEND PLACE,Grouped,False
643471919,TRANS WORLD RADIO PROPERTY,TRANS WORLD RADIO PROPERTY,TRANS WORLD RADIO,Grouped,True
642472438,TRANSFLORIDA BANK CENTRE COND (DEACT),TRANSFLORIDA BANK CENTRE COND,TRANSFLORIDA BANK CENTRE,Grouped,True
643463225,TRES VIDAS COND ONE DECL FILED 7-9-81,TRES VIDAS COND ONE,TRES VIDAS COND,Grouped,True
643470540,TRIESTE AT BOCA,TRIESTE AT BOCA,TRIESTE AT BOCA,Grouped,False
643462804,TROPIC ISLE 4TH SEC IN PB 25 PGS 69 & 70,TROPIC ISLE 4TH SEC IN PB 25 PGS 69 & 70,TROPIC ISLE 4TH,Simple,True
643471905,TUNISON PALMS SEC 1 IN,TUNISON PALMS SEC 1,TUNISON PALMS SEC,Grouped,True
643471906,TUNISON PALMS SEC 2 IN,TUNISON PALMS SEC 1,TUNISON PALMS SEC,Grouped,True
643463244,TUSCANY VILLAGE,TUSCANY VILLAGE,TUSCANY VILLAGE,Grouped,False
643471703,TWENTIETH ST INDUSTRIAL CENTERS,TWENTIETH ST INDUSTRIAL CENTERS,TWENTIETH ST INDUSTRIAL,Grouped,True
643471723,TWENTY-FOUR-FORTY-ONE COND DECL FILED 1-23-81 IN,TWENTYFOURFORTYONE COND DECL FILED,TWENTYFOURFORTYONE COND FILED,Grouped,True
642471202,TWIN LAKE,TWIN LAKE,TWIN LAKE,Grouped,False
642471203,TWIN LAKE OFFICE PARK,TWIN LAKE OFFICE PARK,TWIN LAKE OFFICE,Grouped,True
642471302,TWIN LAKES PROFESSIONAL CENTER CONDOMINIUM,TWIN LAKES PROFESSIONAL CENTER,TWIN LAKES PROFESSIONAL,Grouped,True
643471811,TWO BANYON PLACE,TWO BANYON PLACE,TWO BANYON PLACE,Grouped,False
642472340,TWO TOWN CENTER LAND CONDO,TWO TOWN CENTER LAND CONDO,TWO TOWN CENTER,Simple,True
643463216,UNIVERSITY APT CONDOMINIUM IRREG PARCEL IN WLY 380 FT OF TR 3 HIDDEN VALLEY SEC 1,UNIVERSITY APT CONDOMINIUM IRREG,UNIVERSITY APT CONDOMINIUM,Grouped,True
643470803,UNIVERSITY GARDENS IN,UNIVERSITY GARDENS IN,UNIVERSITY GARDENS IN,Grouped,False
643470703,UNIVERSITY HEIGHTS 1ST ADD IN,UNIVERSITY HEIGHTS 1ST ADD,UNIVERSITY HEIGHTS 1ST,Grouped,True
643470801,UNIVERSITY HEIGHTS IN,UNIVERSITY HEIGHTS 1ST ADD,UNIVERSITY HEIGHTS 1ST,Grouped,True
643470810,UNIVERSITY HILL 1ST SEC IN,UNIVERSITY HILL 1ST SEC,UNIVERSITY HILL 1ST,Grouped,True
643470811,UNIVERSITY HILL 2ND SEC IN,UNIVERSITY HILL 1ST SEC,UNIVERSITY HILL 1ST,Grouped,True
642471404,UNIVERSITY PARK COUNTRY CLUB ESTS 2ND ADD IN,UNIVERSITY PARK COUNTRY CLUB,UNIVERSITY PARK COUNTRY,Grouped,True
642471403,UNIVERSITY PARK COUNTRY CLUB ESTS 1ST ADD IN,UNIVERSITY PARK COUNTRY CLUB,UNIVERSITY PARK COUNTRY,Grouped,True
642471402,UNIVERSITY PARK COUNTRY CLUB ESTS IN,UNIVERSITY PARK COUNTRY CLUB,UNIVERSITY PARK COUNTRY,Grouped,True
643471904,VARSITY HGTS IN,VARSITY HGTS IN,VARSITY HGTS IN,Grouped,False
643473220,VENTURA CONDO,VENTURA CONDO,VENTURA CONDO,Grouped,False
