Master PCN,Name,Final_Subdivision_Name,Unified_Group_Name,Source,Renamed
1243460707,RAINBERRY BAY SEC 4,RAINBERRY BAY SEC 2,RAINBERRY BAY SEC,Grouped,True
1243460718,RAINBERRY BAY SEC 1-A REPLAT,RAINBERRY BAY SEC 1,RAINBERRY BAY SEC,Grouped,True
1243460717,RAINBERRY BAY SECTION 6,RAINBERRY BAY SEC 5,RAINBERRY BAY SEC,Grouped,True
1243460715,RAINBERRY BAY SEC 5,RAINBERRY BAY SEC 4,RAINBERRY BAY SEC,Grouped,True
1243460723,RAINBERRY BAY SEC 8,RAINBERRY BAY SECTION 5A,RAINBERRY BAY SECTION,Grouped,True
1243460721,RAINBERRY BAY SECTION 5-A,RAINBERRY BAY SECTION 7,RAINBERRY BAY SECTION,Grouped,True
1243460720,RAINBERRY BAY SECTION 7,RAINBERRY BAY SECTION 6,RAINBERRY BAY SECTION,Grouped,True
1243460727,RAINBERRY ESTATES AMENDED,RAINBERRY ESTATES AMENDED,RAINBERRY ESTATES AMENDED,Grouped,False
1243460734,RAINBERRY ESTS 2ND AMND PL,RAINBERRY ESTS 2ND AMND,RAINBERRY ESTS 2ND,Grouped,True
1243460716,RAINBERRY LAKE PHASE 3-B,RAINBERRY LAKE PHASE IVB,RAINBERRY LAKE PHASE,Grouped,True
1243460712,RAINBERRY LAKE PHASE IV-A REPLAT,RAINBERRY LAKE PHASE IIIA,RAINBERRY LAKE PHASE,Grouped,True
1243460714,RAINBERRY LAKE PHASE IV-B,RAINBERRY LAKE PHASE IVA,RAINBERRY LAKE PHASE,Grouped,True
1243460708,RAINBERRY LAKES PHASE 2,RAINBERRY LAKES PHASE 2,RAINBERRY LAKES PHASE,Grouped,True
1243460711,RAINBERRY LAKE PHASE III-A,RAINBERRY LAKES PHASE 2,RAINBERRY LAKES PHASE,Grouped,True
1243461677,RANGER COND APTS DECL FILED 6-23-80,RANGER COND APTS DECL,RANGER COND APTS,Grouped,True
1243462871,REBECCA'S LANDING,REBECCAS LANDING,REBECCAS LANDING,Grouped,True
1243461759,RECTORY PARK PLAT (DEACTIVATED),RECTORY PARK PLAT DEACTIVATED,RECTORY PARK PLAT,Grouped,True
1242461307,REGINA PARK,REGINA PARK,REGINA PARK,Grouped,False
1243462180,REGIONS DELRAY (DEACTIVATED),REGIONS DELRAY DEACTIVATED,REGIONS DELRAY DEACTIVATED,Grouped,True
1243461614,REIDS JOHN B VILLAGE IN,REIDS JOHN B VILLAGE,REIDS JOHN B,Grouped,True
1243461615,"REIDS JOHN B VILLAGE REPL BLKS L, M & N IN",REIDS JOHN B VILLAGE,REIDS JOHN B,Grouped,True
12434616F3,RENAISSANCE VILLAGE,RENAISSANCE VILLAGE,RENAISSANCE VILLAGE,Grouped,False
1243461774,REYES PLAT,REYES PLAT,REYES PLAT,Grouped,False
