Master PCN,Name,Book,Page,Year,Final Subdivision,Unified Subdivision
5043430301,CAYUGA ESTATES PL 1,15,7,1971,CAYUGA ESTATES,CAYUGA ESTATES
5043430324,CAYUGA ESTATES PL 2,15,10,1989,CAYUGA ESTATES,CAYUGA ESTATES
5043432607,CHALET BY THE OCEAN COND,2210,407,1974,CHALET BY THE OCEAN CONDOMINIUMS,CHALET BY THE OCEAN CONDOMINIUMS
5043441525,"CHATEAU RAMBOUILLET IBIS ISLE CONDOMINIUM PAR OF LAND LYG IN LOTS 5, 6 &",1759,786,1973,CHATEAU RAMBOUILLET IBIS ISLE CONDOMINIUMS,CHATEAU CHANTILLY IBIS ISLE CONDOMINIUMS
5043441526,"CHATEAU CHANTILLY IBIS ISLE CONDOMINIUM PAR OF LAND LYG IN LOTS 2, 3 &",1779,1588,1973,CHATEAU CHANTILLY IBIS ISLE CONDOMINIUMS,CHATEAU CHANTILLY IBIS ISLE CONDOMINIUMS
5043441520,"CHATEAU CHAUMONT IBIS ISLE CONDOMINIUM PT OF LTS 12, 13 & 14 IBIS",1687,125,1973,CHATEAU CHAUMONT IBIS ISLE CONDOMINIUMS,CHATEAU CHAUMONT IBIS ISLE CONDOMINIUMS
5043441523,"CHATEAU CHEVERNY IBIS ISLE CONDOMINIUM PAR OF LAND IN LTS 8, 9, 10",1703,86,1973,CHATEAU CHEVERNY IBIS ISLE CONDOMINIUMS,CHATEAU CHEVERNY IBIS ISLE CONDOMINIUMS
5043431420,CHATEAUX ENCHANTE,29,158,1973,CHATEAUX ENCHANTE,CHATEAUX ENCHANTE
5043431009,CHERRY LANE IN,23,75,1971,CHERRY LANE,CHERRY LANE
5043432780,CHILEAN CONDOMINIUM OF PALM BEACH,21043,715,2007,CHILEAN CONDOMINIUMS,CHILEAN CONDOMINIUMS
5043432621,CHILIAN COURT COND,8707,1995,1996,CHILIAN COURT CONDOMINIUMS,CHILIAN COURT CONDOMINIUMS
5043443505,CLARIDGES I COND,2132,870,1975,CLARIDGES I CONDOMINIUMS,CLARIDGES I CONDOMINIUMS
5043443506,CLARIDGES II COND,2161,1223,1975,CLARIDGES II CONDOMINIUMS,CLARIDGES I CONDOMINIUMS
5043432202,COCOANUT GROVE,18,24,1971,COCOANUT GROVE,COCOANUT GROVE
5043432303,COLUMBUS COLONADE REV PL IN,10,7,1971,COLUMBUS COLONADE,COLUMBUS COLONADE
5043430318,CORAL ESTATES IN,22,27,1972,CORAL ESTATES,CORAL ESTATES
5043441101,CORLEY BEACH EST IN,24,227,1971,CORLEY BEACH ESTATE,CORLEY BEACH ESTATE
5043442305,COVE COND,2386,888,1976,COVE CONDOMINIUMS,COVE CONDOMINIUMS
5043431505,DAISY E ERBS ADD,9,75,1971,DAISY E ERBS,DAISY E ERBS
5043432751,DAISY GARDENS COND DECL FILED  1-27-81 ACK 10-7-80,3453,475,1981,DAISY GARDENS CONDOMINIUMS,DAISY GARDENS CONDOMINIUMS
5043431024,DODGE ESTATES IN,27,119,1971,DODGE ESTATES,DODGE ESTATES
5043442603,DORCHESTER OF PALM BEACH COND  DECL FILED 1-19-79,2994,1518,1980,DORCHESTER OF PALM BEACH CONDOMINIUMS,DORCHESTER OF PALM BEACH CONDOMINIUMS
5043432620,DOWN UNDER CONDOMINIUM DECL FILED 11-2-90,6649,877,1991,DOWN UNDER CONDOMINIUMS,DOWN UNDER CONDOMINIUMS
5043431402,DRAKE PARK,20,11,1981,DRAKE PARK,DRAKE PARK
5043432613,DUNSTER HOUSE COND,2985,745,1979,DUNSTER HOUSE CONDOMINIUMS,DUNSTER HOUSE CONDOMINIUMS
5043431413,DUPLEX COURT P B IN,14,15,1971,DUPLEX COURT PALM BEACH,DUPLEX COURT PALM BEACH
5043432304,EAST PLAZA IN,16,78,1971,EAST PLAZA,EAST PLAZA
5043431010,EAST SHORE ADD IN,21,14,1971,EAST SHORE,EAST SHORE
5043430319,EDEN PROPERTIES REPL IN,22,21,1971,EDEN PROPERTIES,EDEN PROPERTIES
5043430320,EDEN PROPERTIES IN,18,49,1971,EDEN PROPERTIES,EDEN PROPERTIES
5043423410,EDEN VILLA IN,6,79,1971,EDEN VILLA,EDEN VILLA
5043442317,EDGEWATER HOUSE CORP CO-OP (DEACTIVATED),997,270,1987,EDGEWATER HOUSE CO OP,EDGEWATER HOUSE CO OP
5043432705,EL BRAVO PARK,8,9,1971,EL BRAVO PARK,EL BRAVO PARK
5043432706,EL BRAVO PARK SUPP PL IN,9,9,1971,EL BRAVO PARK SUPP,EL BRAVO PARK
5043432707,EL BRAVO PARK RESUB IN,16,74,1971,EL BRAVO PARK,EL BRAVO PARK
5043432623,EL BRAVO SINGER ANNEX,124,116,2018,EL BRAVO SINGER ANNEX,EL BRAVO SINGER ANNEX
5043431008,EL DORADO PARK IN,24,236,1971,EL DORADO PARK,EL DORADO PARK
5043430201,EL ENCANTO IN,11,53,1971,EL ENCANTO,EL ENCANTO
5043430310,EL ENCANTO REPL IN,18,95,1971,EL ENCANTO,EL ENCANTO
5043430311,EL ENCANTO PL 2,13,14,1972,EL ENCANTO,EL ENCANTO
5043431419,EL MIRASOL IN,28,60,1971,EL MIRASOL,EL MIRASOL
5043431403,EL PARAISO IN,12,5,1971,EL PARAISO,EL PARAISO
5043432777,ELIOT HOUSE CONDOMINIUM,14291,604,2003,ELIOT HOUSE CONDOMINIUMS,ELIOT HOUSE CONDOMINIUMS
5043440209,EMERALD REPLAT OF REPLAT,45,177,1984,EMERALD REPLAT OF REPLAT,EMERALD REPLAT OF REPLAT
5043443524,EMERAUDE COND DECL FILED 3-30-82,3698,1673,1983,EMERAUDE CONDOMINIUMS,EMERAUDE CONDOMINIUMS
5043442608,ENCLAVE OF PALM BEACH COND DECL FILED 2-12-85 IN,4465,1901,1986,ENCLAVE OF PALM BEACH CONDOMINIUMS,ENCLAVE OF PALM BEACH CONDOMINIUMS
5043423407,ESPLANADE ESTS,12,13,1971,ESPLANADE ESTATES,ESPLANADE ESTATES
5043432701,EVERGLADES ISLAND IN,18,31,1971,EVERGLADES ISLAND,EVERGLADES ISLAND
