"Listing Number","Cumulative DOM","Days On Market","Short Address","Baths - Full","Baths - Half","Cancel Date","Listing Date","List Price","Front Exp","Expiration Date","Parcel ID","Sold Date","Sold Price","SqFt - Living","SqFt - Total","Under Contract Date","Withdrawn Date","Year Built","Year Roof Installed","SqFt - Guest House","Construction: CBS","Storm Protection: Accordion Shutters","Storm Protection: Impact Glass","Storm Protection: Panel Shutters","Public Remarks","Area","Temp Off Market Date","Garage Spaces","Furnished: Furnished","Subdivision","Terms of Sale","Zip Code","Baths - Total","City","Guest House","High School","Homeowners Assoc","Lot SqFt","Private Pool","Legal Desc","Spa","State/Province","Street #","Tax Year","Taxes","Total Bedrooms","Total Floors/Stories","Total Units in Bldg","Ttl Units in Complex","Original List Price","Unit Floor #","Unit #","Type","Geo Lat","Geo Lon","HOA/POA/COA (Monthly)","Special Assessment","Waterfront","Status","Status Change Date","Subdiv. Amenities: Tennis","Subdiv. Amenities: Pool","Subdiv. Amenities: Manager on Site","Subdiv. Amenities: Fitness Center","Subdiv. Amenities: Elevator","Subdiv. Amenities: Golf Course","Subdiv. Amenities: Clubhouse","Security: Gate - Manned","Security: Gate - Unmanned","Security: Doorman","Security: Lobby","Parking: Garage - Building","Parking: Garage - Detached","Parking: Open","Parking: Covered","Lot Description: < 1/4 Acre","Lot Description: 1 to < 2 Acres","Lot Description: 1/2 to < 1 Acre","Lot Description: 1/4 to 1/2 Acre","Gated Community","Development Name","Listing Agent","Listing Office","Buyer Agent","Buyer Office","Fallthrough Date"
"RX-11144291","9","9","2211 Las Casitas Drive","1","0","","2025-12-01","750000.00","E","","73414414100000040","","","725.00","800.00","","","1984","","","","","Complete","","Beautifully renovated villa with a working fire place in a tranquil setting surrounded by water views. Private patio and pool oasis. Las Casitas is one of the most sought after communities in the Prestigious Palm Beach Polo, Golf and Country Club. Minutes from everything equestrian while just a short jaunt to Palm Beach ( The Island ) Ready to go for season being offered turnkey.","5520","","0.00","Yes","LAS CASITAS 1","","33414","1.00","Wellington","","","M","1677.00","Yes","LAS CASITAS PH ONE OF PALM BEACH POLO & COUNTRY CLUB LT 4","","FL","2211","2025","10859.00","1","1.00","2","4.00","750000.00","","","TH","26.647452","-80.222228","1330.00","No","Yes","A","2025-12-01","Yes","Yes","","Yes","","Yes","","Yes","","","","","","","","Yes","","","","Y","PALM BEACH POLO","Marc Darren Ulanowski","Equestrian Sotheby's International Realty Inc. (802501)","","",""
"RX-11128617","70","70","13400 Polo Road W 102","3","0","","2025-10-01","799000.00","W","","73414416030031020","","","1800.00","1800.00","","","1979","2023","","Yes","","Complete","","Beautifully updated and move-in ready, this 3-bedroom, 3-bathroom first-floor condo is located in the highly desirable Hurlingham neighborhood of Palm Beach Polo & Country Club. Situated at the end of a quiet street near the West Gate, the unit offers exceptional privacy and stunning views of the pond, the International Grand Prix Field, and 5-star equestrian events?all enjoyed from the fully enclosed glass lanai.","5520","","0.00","Yes","HURLINGHAM CONDO","","33414","3.00","Wellington","","Wellington High Sch","M","212092.00","No","HURLINGHAM COND APT 102-C","","FL","13400","2024","12405.70","3","2.00","","","799000.00","1.00","102","CD","26.642334","-80.25989","1178.33","No","No","A","2025-10-01","Yes","Yes","Yes","Yes","","Yes","","Yes","","","","","","","","Yes","","","","Y","","Snezana Pican","Equestrian Sotheby's International Realty Inc. (802501)","","",""
"AX-11923757","6","6","11471 Paradise Cove Lane","4","","","2025-12-04","1249000.00","S","","73414426050001430","","","3668.00","4790.00","","","2002","","","Yes","","","","Best lake view in the gated community of The Isles! Located on a quiet street, this move in ready home has 5 beds 4 baths, and 3 car garage. Screen enclosed, heated pool for year around fun. The custom front door welcomes you to the bright, open floor plan with soaring ceilings and windows in the family room. Bedrooms are situated for optimal privacy with the Primary suite on the first floor, which has 2 walk in closets, the primary bath has his & her showers & vanities. A bright, open floor plan with soaring ceilings and natural light along with a cabana bath that 2 showers. Newer roof 2020 & A/C units 2022 & 2023. Exterior painted in 2024. The spacious loft can be a media room, gym, office, etc. Impact windows on the second floor and easy to install ... (see supplement for full remarks)","5520","","3.00","","ISLES AT WELLINGTON 4","","33449","4.00","Wellington","","Palm Beach Central","M","10829.00","Yes","ISLES AT WELLINGTON PL 4 LT 143","","FL","11471","2025","9299.00","5","2.00","","","1249000.00","","","SF","26.613801","-80.228595","410.00","","Yes","A","2025-12-06","Yes","Yes","Yes","Yes","","","Yes","","","","","","","","","Yes","","","","","","Lourdes Carasa Story","Keller Williams Realty Jupiter (SEFKWRJ01)","","",""
"RX-10980259","598","598","2911 Bent Cypress Rd","3","1","","2024-04-21","2750000.00","E","","73414414370000300","","","3084.00","4303.00","","","1998","","","Yes","","Complete","","Nestled in the prestigious Palm Beach Polo community, this exquisite single-family home offers a haven of elegance and comfort. Featuring 3 bedrooms plus a versatile office space and 3.1 baths, every detail of this residence exudes sophistication and relaxation. From the moment you enter, you're greeted by soaring volume ceilings and rich wood floors that create an atmosphere of luxury. With impact windows providing both security and peace of mind, you can relax and entertain with ease. Step outside to discover your own private retreat, complete with inviting pool and spa, perfect for enjoying the beautiful Florida sunsets.","5520","","2.00","Yes","Bent Cypress","","33414","3.10","Wellington","","","M","","Yes","BENT CYPRESS LT 30","Y","FL","2911","2023","20809.00","3","1.00","","","3350000.00","1.00","","SF","26.638639","-80.235173","350.00","Yes","Yes","A","2024-04-21","","Yes","","Yes","","Yes","","Yes","","","","","","","","Yes","","","","Y","Palm Beach Polo Golf and Country Club","Casey Flannery","Equestrian Sotheby's International Realty Inc. (802501)","","",""
"RX-11145367","6","6","1068 Northumberland Court","2","0","","2025-12-04","700000.00","S","","73414409010110090","","","1994.00","2844.00","","","1988","2022","","Yes","","Complete","","Welcome to a residence where thoughtful renovations and timeless comfort come together effortlessly. Inside, the home opens to beautifully refreshed living spaces enhanced by curated lighting with all-new fans, and an inviting ambiance anchored by a charming fireplace and a sun-filled skylight. The newly remodeled kitchen features modern finishes, a newer refrigerator and stove, and a breakfast area that frames serene views of the pool. The primary bathroom has been tastefully updated, and a cabana bath adds convenience for both residents and guests. Practical upgrades?such as a newer A/C and air handler, newer water heater, and newer washer and dryer?ensure comfort at every turn.","5520","","2.00","","GREENVIEW SHORES","","33414","2.00","Wellington","","","N","","Yes","GREENVIEW SHORES NO 1 OF WELLINGTON LOT 9 BLK 11","","FL","1068","2025","9613.00","3","1.00","","","700000.00","","","SF","26.665767","-80.257655","","No","No","A","2025-12-04","","","","","","","","","","","","","","","","","","","","N","","Hunter Greer","Keller Williams Realty Services (606001)","","",""
"RX-11142182","178","21","2012 White Coral Court","3","1","","2025-11-19","684900.00","N","","73414410290001290","","","2489.00","2983.00","","","1990","","","Yes","","","","BEAUTIFUL FULLY REMODELED HOME IN THE HEART OF WELLINGTON, NEW ROOF, SCREENED IN PATIO ALL JUST RE SCREENED, THIS HOUSE IS READY TO MOVE IN, BRING ALL OFFERS TO THE TABLE, SELLER MOTIVATED. 5 MIN DRIVE TO THE MALL AND NEARBY SHOPPING. TILE THROUGHOUT AND MASTERBEDROOM IS ON THE GROUND FLOOR.","5520","","2.00","","WELLINGTON TR 43","","33414","3.10","Wellington","","","M","5922.00","Yes","WELLINGTON TR 43 (REPL PT OF TR 43) LT 129","N","FL","2012","2025","9665.00","4","2.00","1","400.00","684900.00","2.00","","SF","26.652476","-80.24374","45.00","No","No","A","2025-11-19","","","","","","","","","","","","","","","","Yes","","","","N","","Leah Gonzalez","Realty Connection Link LLC (276540229)","","",""
"RX-11104016","162","162","10274 Prato Street","2","0","","2025-07-01","945000.00","N","","73414413080002450","","","2459.00","3161.00","","","2014","","","Yes","","Complete","","This lovely 3 bedroom, 2 bath and 1 Den single family home has never been on the market for sale!  Boasting almost 2,500 square feet of living space, a 2-car garage, and a great backyard with waterfront views. Situated on a spacious, immaculately landscaped lot in the gated community of Castellina. This gorgeous home has a modern open floor plan with a large kitchen island with plenty of bar seating, plantation shutters, large master with dual sinks , a walk-in shower, and a fantastic covered patio overlooking the lake. The private community of Castellina includes a resort-style clubhouse, pool and spa plus tennis courts.","5520","","2.00","Yes","CASTELLINA","","33414","2.00","Wellington","","","M","120.00","No","CASTELLINA LT 245","","FL","10274","2024","13553.00","3","1.00","","","995000.00","1.00","","SF","26.638872","-80.20806","45133.00","No","Yes","A","2025-07-01","Yes","Yes","","Yes","","","Yes","Yes","","","","","Yes","","","Yes","","","","Y","","Maria Orozco","Engel & Volkers Wellington (802626)","","",""
"RX-11143573","15","15","12227 Sunset Point Circle","2","0","","2025-11-25","699000.00","E","","73414410350000310","","","1412.00","1840.00","","","1997","2021","","Yes","","Complete","","Completely gutted and rebuilt, this Lake Wellington home is a rare occasion in today's market. Set on a peaceful stretch of the lake, it features a brand-new dock, new roof, and new A/C, all impact windows and doors offering true move-in confidence. Every interior detail has been renewed, blending modern comfort with the timeless charm of this established Wellington community. Enjoy wide-open water views and spectacular sunsets from your backyard?an everyday luxury that never gets old. A beautifully refreshed waterfront property like this doesn't come around often.","5520","","2.00","","Sunset point","","33414","2.00","Wellington","N","Wellington High Sch","M","","No","MONTAUK HARBOR REPL LT 31A","","FL","12227","2025","5088.00","3","1.00","","","699000.00","","","SF","26.654424","-80.240658","77.00","No","Yes","A","2025-11-25","","Yes","","","","","","","","","","","","","","Yes","","","","N","Montauk Harbor","Sophie Ghedin","Compass Florida LLC (273007303)","","",""
"RX-11037323","374","374","5405 Duckweed Road","4","0","","2024-11-15","3999999.00","NE","","00414435010000200","","","2750.00","5776.00","","","1982","2021","800.00","","","Partial","Partial","Welcome to your dream equestrian estate, set in a picturesque 10 ACRE PROPERTY in a coveted equestrian community of Homeland. With a manned gated entrance, scenic riding trails, and paved roads, this community offers security, tranquility, and convenience. Embrace the equestrian lifestyle in this beautifully maintained oasis, surrounded by canals on three sides, providing an ideal balance of privacy and accessibility.    The **main home** offers 2,750 sq. ft. under air, featuring 4 spacious bedrooms, 3 full baths, and a bright, inviting layout. Enter into a cozy living room with a fireplace, formal dining area, family room, and an ultra-functional mudroom. The charming kitchen is well-equipped, complete with updated countertops, and includes classic touches like a trash compactor and","5790","","0.00","","HOMELAND AS IN","","33449","4.00","Wellington","Y","Wellington High Sch","M","434250.00","Yes","HOMELAND LT 20","Y","FL","5405","2024","7495.56","4","1.00","","","4400000.00","","","SF","26.599783","-80.237155","516.66","No","Yes","A","2024-12-01","","","","","","","","Yes","","","","","","","","","","","","Y","","Florence Lewis","Keller Williams Realty - Welli (608305)","","",""
"AX-11876980","90","90","4166 Wellington Shores Drive","3","","","2025-09-11","820000.00","E","","73414426020001130","","","2951.00","3814.00","","","2002","","","Yes","","","","Welcome to Wellington Shores! This spacious 5BR/3BA lakefront home offers nearly 3,000 sq ft of living space and a bright, open layout. Recent updates include elegant new flooring throughout the ground level, fresh interior paint, and a fenced backyard perfect for pets and outdoor enjoyment. The modern kitchen flows to expansive living and dining areas, while upstairs bedrooms provide comfort and privacy. Enjoy tranquil lake views, community clubhouse amenities, and one of the most walkable locations in Wellington, just minutes to Panther Run Elementary and Polo Park Middle School. A rare blend of lifestyle, location, and upgrades!","5790","","3.00","","ORANGE GROVE EST","","33449","3.00","Wellington","","Palm Beach Central","M","8162.00","No","ORANGE GROVE ESTATES LT 113","","FL","4166","2024","5608.00","5","2.00","","","950000.00","","","SF","26.61883","-80.224384","375.00","","Yes","A","2025-09-11","","","","","","","Yes","","","","","","","","Yes","Yes","","","","","","Roberta Poli","Related ISG Realty, LLC. (SEFRISR01)","","",""
