"Listing Number","Cumulative DOM","Days On Market","Short Address","Baths - Full","Baths - Half","Cancel Date","Listing Date","List Price","Front Exp","Expiration Date","Parcel ID","Sold Date","Sold Price","SqFt - Living","SqFt - Total","Under Contract Date","Withdrawn Date","Year Built","Year Roof Installed","SqFt - Guest House","Construction: CBS","Storm Protection: Accordion Shutters","Storm Protection: Impact Glass","Storm Protection: Panel Shutters","Public Remarks","Area","Temp Off Market Date","Garage Spaces","Furnished: Furnished","Subdivision","Terms of Sale","Zip Code","Baths - Total","City","Guest House","High School","Homeowners Assoc","Lot SqFt","Private Pool","Legal Desc","Spa","State/Province","Street #","Tax Year","Taxes","Total Bedrooms","Total Floors/Stories","Total Units in Bldg","Ttl Units in Complex","Original List Price","Unit Floor #","Unit #","Type","Geo Lat","Geo Lon","HOA/POA/COA (Monthly)","Special Assessment","Waterfront","Status","Status Change Date","Subdiv. Amenities: Tennis","Subdiv. Amenities: Pool","Subdiv. Amenities: Manager on Site","Subdiv. Amenities: Fitness Center","Subdiv. Amenities: Elevator","Subdiv. Amenities: Golf Course","Subdiv. Amenities: Clubhouse","Security: Gate - Manned","Security: Gate - Unmanned","Security: Doorman","Security: Lobby","Parking: Garage - Building","Parking: Garage - Detached","Parking: Open","Parking: Covered","Lot Description: < 1/4 Acre","Lot Description: 1 to < 2 Acres","Lot Description: 1/2 to < 1 Acre","Lot Description: 1/4 to 1/2 Acre","Gated Community","Development Name","Listing Agent","Listing Office","Buyer Agent","Buyer Office","Fallthrough Date"
"RX-11125759","80","80","11866 Sturbridge Lane","2","1","","2025-09-21","299000.00","N","","73414411120010010","","","1272.00","1302.00","","","1985","","","Yes","","","","Spacious 2 bedroom, 2.5 bath townhouse with lots of storage and private fenced large patio. This unit boasts 2 main suites upstairs, half bath downstairs, tile on first floor and all appliances including full size washer and dryer. Great community with A rated schools, shopping, restaurants and family activities within walking distance.","5520","","0.00","","STURBRIDGE VILLAGE","","33414","2.10","Wellington","","","M","1154.00","No","STURBRIDGE VILLAGE LT A BLK 1","","FL","11866","2024","4432.20","2","2.00","4","","299000.00","","","TH","26.657815","-80.233821","337.52","No","No","A","2025-09-21","","Yes","","","","","","","","","","","","","","Yes","","","","N","","Gustavo Moro","Vicki L. Wilson Realty LLC (276800015)","","",""
"RX-11139139","32","32","11877 Sturbridge Lane","2","0","","2025-11-08","310000.00","NE","","73414411120140010","","","1056.00","1083.00","","","1985","","","","","","","Prime Wellington Location! This beautifully renovated 3-bedroom, 2-bath home offers a comfortable layout with the convenience of an in-unit washer and dryer. Remodeled and upgraded kitchen with new stainless steel appliances, countertops, and backsplash. All new wood flooring thru-out! The primary suite features a private en-suite bathroom and a spacious walk-in closet. Situated within walking distance to top-rated schools and the Wellington Amphitheater, and less than a mile from the Palm Beach Polo Club and premier equestrian events. Enjoy the ease of assigned and guest parking.","5520","","0.00","","STURBRIDGE VILLAGE","","33414","2.00","Wellington","","Wellington High Sch","M","365.00","No","STURBRIDGE VILLAGE LT A BLK 14","","FL","11877","2024","4350.00","3","1.00","","","315000.00","1.00","","VL","26.658308","-80.233447","337.52","No","No","A","2025-11-08","","","","","","","","","","","","","","","","Yes","","","","N","Sturbridge Village","Senol Ider","TruNest Realty Group LLC (276821736)","","",""
"RX-11111264","134","134","13321 Polo Club Road C203","3","0","","2025-07-29","915000.00","N","","73414416060003203","","","1800.00","1800.00","","","1980","2019","","Yes","","","","Nestled in Wellington's prestigious Palm Beach Polo and Country Club, this stunning 3-bedroom, 3-bathroom Cowdray Park Condo offers both luxury and convenience. Recently updated with a modern kitchen and sleek, contemporary bathrooms, the property blends stylish living with functionality. The spacious open floor plan provides a bright, airy atmosphere, while the large porch boasts breathtaking views, perfect for enjoying the serene surroundings. Ideally situated, this charming property offers access to top-tier amenities including tennis, pickleball, a state-of-the-art gym, and has miles of scenic trails at The Preserve. Enjoy the convenience of the community pool and Jacuzzi just across the garden, perfect for relaxing or entertaining! Just minutes away from world-class equestrian venues","5520","","2.00","","COWDRAY PARK CONDO","","33414","3.00","Wellington","N","Wellington High Sch","M","","No","COWDRAY PARK COND UNIT 203 BLDG C","N","FL","13321","2024","3728.32","3","1.00","","","950000.00","203.00","C203","CD","26.642168","-80.255614","1200.00","Yes","Yes","A","2025-07-29","Yes","Yes","","Yes","","Yes","Yes","Yes","","","","","","","Yes","","","","","Y","Palm Beach Polo","Alison Barens","Equestrian Sotheby's International Realty Inc. (802501)","","",""
"RX-11103204","166","166","8873 Via Brilliante","2","1","","2025-06-27","660000.00","S","","73424407050010820","","","2803.00","3559.00","","","2004","","","Yes","","","Complete","2025 COMPLETE INTERIOR RENOVATION!  This ,never lived in, 3 bed/2.5 bath plus den house was taken down to the studs and the interior was rebuilt. BRAND NEW drywall, modern tile flooring, 2.5 new bathrooms, primary bathroom featuring stand alone modern tub  and a stunning BRAND NEW modern kitchen with a contemporay waterfall island, quartz countertop throughout! Brand new cabinets and new appliances! Welcome to the beautiful and highly sought after community of Buena Vida. An active 55+, man gated community that features and award winning clubhouse with café, fitness center, tennis and pickleball courts, pools/spas, an active social club, and visiting entertainers in the club room and stage. This home is as close as it gets to a new build home! A MUST SEE!","5570","","2.00","","BUENA VIDA","","33411","2.10","Wellington","","","M","8398.00","No","BUENA VIDA LT 82 BLK A","","FL","8873","2024","10011.70","3","1.00","","","719999.00","","","SF","26.654089","-80.187495","764.00","No","No","A","2025-06-27","Yes","Yes","Yes","Yes","","","","Yes","","","","","","","","Yes","","","","Y","","April Laura","EXP Realty LLC (261010944)","","",""
"RX-11146048","1","1","2291 Las Casitas Drive","2","1","","2025-12-08","1250000.00","SE","","73414414170000130","","","1347.00","1949.00","","","1985","","","Yes","","Complete","","Renovated designer townhome located within the prestigious Palm Beach Polo and Country Club, a world-renowned community in Wellington, known for its upscale living and equestrian focus. The open concept with its modern kitchen, stylish baths, and natural light offers ample living space with unique architectural designs and luxurious finishes. The large patio overlooks the beautiful sparkling private pool with a view of the natural water and fountain for a tranquil setting. Enjoy high end amenities including manned gate access, tennis, pickleball, professional lessons, full gym, and hiking and biking within the nature preserve.","5520","","0.00","","LAS CASITAS 2","","33414","2.10","Wellington","N","Wellington High Sch","M","8006.00","Yes","LAS CASITAS PHASE TWO PB49P54 LT 13","","FL","2291","2025","16992.00","2","1.00","","","1250000.00","","","TH","26.645849","-80.222368","1286.66","No","Yes","A","2025-12-09","Yes","","Yes","Yes","","","Yes","Yes","","","","","","","Yes","Yes","","","","Y","Palm Beach Polo Golf and Country Club","Megan Alexander","Nest Seekers Florida, LLC (273007056)","","",""
"RX-11118003","401","99","2435 Windsor Way Court","4","1","","2025-08-23","1500000.00","SE","","73414414260000190","","","3167.00","3673.00","","","1987","","","Yes","","Complete","","Newly renovated designer townhome located within the prestigious Palm Beach Polo and Country Club, a world-renowned community in Wellington, known for its upscale living and equestrian focus. The layout is open with soaring ceilings, stunning kitchen, luxurious bedrooms and baths with ample closet space, and plenty of natural light. The sparkling heated private pool overlooks the nature preserve for a tranquil setting. Enjoy high end amenities including manned gate access, tennis, pickleball, professional lessons, full gym, and hiking and biking.","5520","","2.00","","WINDSOR WAY 1","","33414","4.10","Wellington","","Wellington High Sch","M","6534.00","Yes","WINDSOR WAY PL 1 LT 19","","FL","2435","2024","16083.30","4","2.00","","","2200000.00","","","TH","26.645048","-80.230741","1667.00","No","No","A","2025-09-02","Yes","","Yes","Yes","","","Yes","Yes","","","","","","","Yes","Yes","","","","Y","","Megan Alexander","Nest Seekers Florida, LLC (273007056)","","",""
"AX-11859210","118","118","10563 Galleria Street","3","","","2025-08-14","659900.00","E","","73414401020020230","","","3076.00","4222.00","","","2003","","","","","","","PRICE IMPROVEMENT!!!! PRICED FOR A FAST SELL!!!! FULLY MOTIVATED SELLER.... This beautiful 5 Bedroom 3 Full bath home features the layout you've been looking for. Full Bedroom and bath downstairs. 4/2 bedrooms upstairs. The Primary features an oversized FLEX ROOM. You will have the opportunity to make and shape this room to whatever your heart desires. This Gated Community in Black Diamond Wellington has low HOA. Beautiful community pool and much more. Great location near by shop, restaurant and Wellington Mall. You name it, the city of Wellington has it, Don't walk run. Seller credits available....FUN FACT PROPERTY WAS RECENTLY APPRAISED AT $817K","5520","","3.00","","BLACK DIAMOND PH 1","","33414","3.00","Wellington","","Palm Beach Central","M","5611.00","No","BLACK DIAMOND PH 1 LT 23 BLK 2","","FL","10563","2024","9758.00","5","2.00","","","724999.00","","","SF","26.66059","-80.214581","385.00","","Yes","A","2025-10-21","","Yes","","","","","Yes","","","","","","","","","","","Yes","","","","Sandra Piquant","Align Right Realty K1 Group (SEFARRK01)","","",""
"RX-11143089","16","16","1257 Beacon Circle","4","0","","2025-11-24","775000.00","S","","73414401020040030","","","3800.00","4727.00","","","2002","","","","","","Complete","Welcome to this stunning 6-bedroom, 4-bath single-family lakefront home with a beautiful pool located in the highly desirable community of Black Diamond. This spacious residence features a convenient first-floor bedroom, perfect for guests or multigenerational living. The interior is highlighted by beautiful marble flooring that adds elegance and flow throughout the main living areas. With generously sized bedrooms, updated bathrooms, and multiple living and dining spaces, this home offers comfort and flexibility for any lifestyle. The property is ideally situated close to top-rated schools, major shops, dining, and Wellington's premier mall?placing everything you need just minutes away.","5520","","3.00","","BLACK DIAMOND PH 1","","33414","4.00","Wellington","","","M","7303.00","Yes","BLACK DIAMOND PH 1 LT 3 BLK 4","","FL","1257","2025","13567.00","6","2.00","","","775000.00","","","SF","26.662024","-80.216545","385.00","No","Yes","A","2025-11-24","Yes","Yes","","","","","","","","","","","","","","Yes","","","","Y","","Venessa Brown","Selling Sunset Realty LLC (276562921)","","",""
"RX-11067996","281","281","11237 Polo Park Trail","8","2","","2025-03-04","9495000.00","N","","73414414500000090","","","7942.00","0.00","","","2025","","","Yes","","Complete","","This exceptional property offers an unparalleled living experience in Palm Beach Polo's newest exclusive subdivision. A true masterpiece of design, this newly constructed home boasts 8 generously sized bedrooms and 10 luxurious bathrooms, providing a perfect balance of comfort and elegance. The expansive open-concept floor plan seamlessly integrates high-end finishes, including a state-of-the-art gourmet kitchen, custom cabinetry, and spacious living areas. Floor-to-ceiling windows invite abundant natural light, creating a bright and welcoming atmosphere while framing serene views of the beautifully landscaped outdoor spaces. Additional features include a media room, ideal for a variety of uses, and meticulously designed grounds that enhance the home's exceptional appeal.","5520","","2.50","","Polo Park","","33414","8.20","Wellington","","","M","","Yes","FARRELL ESTATES WELLINGTON LT 9","","FL","11237","2024","0.00","8","2.00","","","9495000.00","","","SF","26.650662","-80.226845","1115.00","No","Yes","A","2025-03-04","Yes","","","Yes","","","","Yes","","","","","","","","","","","Yes","Y","","Casey Flannery","Equestrian Sotheby's International Realty Inc. (802501)","","",""
"RX-11144622","104","8","1602 Shaker. Circle Circle","2","1","","2025-12-02","317500.00","N","","73414410100300030","","","1622.00","1622.00","","","1983","","","Yes","","","","Discover your Waterfront home at 1602 Shaker Circle, nestled in the heart of beautiful Wellington, Florida. This stunning residence offers a perfect blend of luxury, comfort, and convenience. - Spacious open floor plan with abundant natural light - Modern kitchen equipped with stainless steel appliances and countertops - Cozy living room with- Elegant dining area perfect for entertaining -New floors and just repainted - Private patio or deck for outdoor relaxation - Ample parking space - Located in a family-friendly neighborhood - Close proximity to top-rated schools, parks, and recreational facilities - Easy access to shopping, dining, and entertainment options Don't miss out on this incredible opportunity! For more details or to schedule a showing","5520","","0.00","","French quarter 3","","33414","2.10","Wellington","","","M","","No","French quarter no 3 lt 3 BLK 30","","FL","1602","2025","3575.00","3","2.00","","","317500.00","","","TH","26.657223","-80.234497","527.00","No","Yes","A","2025-12-02","","","","","","","","","","","","","","","","","","","","N","","Penny Dias","Simon Gray Realty LLC (276650414)","","",""
"RX-11106028","154","154","14817 Paddock Drive","6","1","","2025-07-09","4260000.00","S","","73414332030230110","","","4823.00","7007.00","","","2025","","","Yes","","Complete","","Step inside this exceptional 2025-built modern one-story estate in Wellington, where elegance meets contemporary design. Behind impressive double doors, you'll find 5 spacious bedrooms, 6.5 luxurious bathrooms, a private office, and a 3-car garage. The open layout is thoughtfully designed with exquisite finishes and expansive impact windows that frame stunning views of the lush backyard. At the heart of the home is a gourmet kitchen with premium Dacor appliances, a gas cooktop, and custom cabinetry, ideal for daily living and entertaining. For comfort and efficiency, the estate includes three central A/C units, an instant hot water system, and a well water irrigation system. Connected to city water and sewer, this home offers added convenience with no septic maintenance required.","5520","","3.00","","PADDOCK PARK 1 OF WELLINGTON","","33414","6.10","Wellington","","","N","44337.00","Yes","PADDOCK PARK NO 1 OF WELLINGTON LOT 11 BLK 23","","FL","14817","2024","8635.59","5","1.00","","","4260000.00","","","SF","26.670139","-80.28211","","No","No","A","2025-07-09","","","","","","","","","","","","","","","Yes","","Yes","","","N","","Lorena Calvo","CGI Realty (276671177)","","",""
"FX-10464878","433","433","11136 Polo Park Trail","5","2","","2024-10-03","6495000.00","SE","","","","","5870.00","","","","2025","0","","","","","","Offered at $6,495,000, 11136 Polo Park Trail provides a refined living environment with 5,870 SF+/- on a 0.35 acre+/- lot in Palm Beach Polo Golf & Country Club, crafted by Farrell Companies, with architecture by Granoff Architects and Will Minnear Architects, and interiors by Archie Bolden. Located 13.2 miles+/- from Palm Beach International Airport, it includes 5 bedrooms, 5 full and 2 half bathrooms, featuring a great room, office, and media/game room. The exterior boasts warm white stucco with a lace finish and hurricane-rated windows, complemented by landscaped grounds.","5520","","3.00","","N/A","","33414","5.20","Wellington","N","","M","","Yes","N/A","","FL","11136","2024","","5","2.00","","","6495000.00","","","SF","26.622653","-80.233048","4460.00","","No","A","2024-10-03","Yes","Yes","","","","","Yes","","","","","","","","","","","","Yes","","","Zachary Vichinsky","Bespoke Real Estate (279640838)","","",""
"RX-11114063","124","124","11355 Pond View Drive D203","3","0","","2025-08-08","890000.00","S","","73414414020042030","","","1760.00","1760.00","","","1979","","","","","","","","5520","","2.00","Yes","GOLF COTTAGES 2 CONDO","","33414","3.00","Wellington","","Wellington High Sch","M","180.00","No","GOLF COTTAGES NO 2 COND BLDG D UNIT 203","","FL","11355","2024","8977.21","3","2.00","","","890000.00","2.00","D203","CD","26.649605","-80.227098","500.00","No","No","A","2025-08-08","Yes","","","Yes","","","Yes","Yes","","","","","","","","","","","","Y","","Michelle Boussinot","Douglas Elliman (Wellington) (276530528)","","",""
"RX-11125895","81","81","14007 Aster Avenue","2","0","","2025-09-20","575000.00","S","","73414404010540020","","","1550.00","2482.00","","","1983","","","","","","Complete","Welcome to your Florida oasis! This delightful single-family 3 Bedroom 2 Bath Pool home offers everything you need for both comfort and convenience, just minutes from the world-class National Equestrian and Polo grounds in Wellington. In the heart of it all. With A Rated schools and close to shopping and restaurants.","5520","","2.00","","Aster Cove","","33414","2.00","Wellington","N","","N","8800.00","Yes","SUGAR POND MANOR OF WELLINGTONLT 2 BLK 54","N","FL","14007","2024","2997.26","3","1.00","","","575000.00","","","SF","26.666242","-80.269572","","No","No","A","2025-09-22","","","","","","","","","","","","","","","","Yes","","","","N","Aster Cove","Mark Wootton","LAER Realty Partners Bowen/Wellington (802198)","","",""
"RX-11143618","14","14","2508 Mizner Lake Court","5","1","","2025-11-26","4450000.00","N","","73414415180000310","","","4974.00","6222.00","","","2005","","","Yes","","Complete","","This 6-bedroom Mizner Estate, with a Mediterranean style courtyard and separate guest quarters, is close to the West Gate, on a cul-de-sac.  It is renovated with full impact windows and a backup generator.  The open layout, showcased in the video, blends seamlessly with lush landscaping to create inviting spaces for entertaining or serene privacy.","5520","","2.50","","MIZNER ESTATES OF PALM BEACH POLO & COUNTRY CLUB WELLINGTON","","33414","5.10","Wellington","","","M","13917.00","Yes","MIZNER ESTATES OF PALM BEACH POLO & COUNTRY CLUB WELLINGTON LT 31","","FL","2508","2025","44578.00","6","2.00","1","","4450000.00","","","SF","26.643521","-80.250375","685.00","No","Yes","A","2025-11-26","Yes","Yes","","Yes","","Yes","Yes","Yes","","","","","","","","","","","Yes","Y","Palm Beach Polo","Gabriel Falco","Equestrian Sotheby's International Realty Inc. (802501)","","",""
